Name,Binary,Category,Status,Description,File_Reference
Train WAV Projection,train_wav_projection,Audio,RESEARCH,WAV projection training,np-optima/src/bin/train_wav_projection.rs
WAV Extended Test,wav_extended_test,Audio,RESEARCH,Extended WAV testing,np-optima/src/bin/wav_extended_test.rs
WAV vs Truth Chain,wav_vs_truth_chain,Audio,RESEARCH,WAV chain validation,np-optima/src/bin/wav_vs_truth_chain.rs
WAV vs Truth Extended,wav_vs_truth_extended,Audio,RESEARCH,Extended WAV validation,np-optima/src/bin/wav_vs_truth_extended.rs
WAV vs Truth L1,wav_vs_truth_l1,Audio,RESEARCH,L1 WAV validation,np-optima/src/bin/wav_vs_truth_l1.rs
WAV vs Truth Saturation,wav_vs_truth_saturation,Audio,RESEARCH,Saturation WAV validation,np-optima/src/bin/wav_vs_truth_saturation.rs
WAV vs Truth Table,wav_vs_truth_table,Audio,RESEARCH,Truth table WAV validation,np-optima/src/bin/wav_vs_truth_table.rs
Train Emergent Demo,train_emergent_demo,AI,RESEARCH,Emergent dimension training,np-optima/src/bin/train_emergent_demo.rs
Text Embedding Demo,text_embedding_demo,AI,RESEARCH,Text embedding demo,np-optima/src/bin/text_embedding_demo.rs
Emergent Class Test,emergent_class_test,AI,RESEARCH,Emergent classification test,np-optima/src/bin/emergent_class_test.rs
Emergent Generalize Test,emergent_generalize_test,AI,RESEARCH,Emergent generalization test,np-optima/src/bin/emergent_generalize_test.rs
Grammar Rules Demo,grammar_rules_demo,NLP,RESEARCH,Grammar rules demo,np-optima/src/bin/grammar_rules_demo.rs
Grammar Generalization Test,grammar_generalization_test,NLP,RESEARCH,Grammar generalization,np-optima/src/bin/grammar_generalization_test.rs
Build Bigram Constraints,build_bigram_constraints,NLP,RESEARCH,Bigram constraint building,np-optima/src/bin/build_bigram_constraints.rs
Chained Saturation Demo,chained_saturation_demo,Theory,RESEARCH,Chained saturation demo,np-optima/src/bin/chained_saturation_demo.rs
P Equals NP,p_equals_np,Theory,RESEARCH,Main P=NP demonstration,np-optima/src/bin/p_equals_np.rs
PSPACE Analysis,pspace_analysis,Theory,RESEARCH,PSPACE analysis,np-optima/src/bin/pspace_analysis.rs
Complete Demo,complete_demo,Theory,RESEARCH,Complete demonstration,np-optima/src/bin/complete_demo.rs
Laplace Demon,laplace_demon,Theory,RESEARCH,Laplace demon demo,np-optima/src/bin/laplace_demon.rs
TSP Proof Test,tsp_proof_test,Theory,RESEARCH,TSP proof testing,np-optima/src/bin/tsp_proof_test.rs
Locality to Boltzmann,locality_to_boltzmann,Theory,RESEARCH,Locality-Boltzmann bridge,np-optima/src/bin/locality_to_boltzmann.rs
Spectral Patterns,spectral_patterns,Theory,RESEARCH,Spectral pattern analysis,np-optima/src/bin/spectral_patterns.rs
Explore Projection,explore_projection,Theory,RESEARCH,Projection exploration,np-optima/src/bin/explore_projection.rs
Alternating Factor,alternating_factor,Factoring,RESEARCH,Alternating factoring,np-optima/src/bin/alternating_factor.rs
Binary Bound,binary_bound,Factoring,RESEARCH,Binary bounds,np-optima/src/bin/binary_bound.rs
Binary Search Factor,binary_search_factor,Factoring,RESEARCH,Binary search factoring,np-optima/src/bin/binary_search_factor.rs
Bit Gradient Factor,bit_gradient_factor,Factoring,RESEARCH,Bit gradient factoring,np-optima/src/bin/bit_gradient_factor.rs
Bitwise Beam,bitwise_beam,Factoring,RESEARCH,Bitwise beam search,np-optima/src/bin/bitwise_beam.rs
Bitwise Minimize,bitwise_minimize,Factoring,RESEARCH,Bitwise minimization,np-optima/src/bin/bitwise_minimize.rs
Bitwise Minimize V2,bitwise_minimize_v2,Factoring,RESEARCH,Bitwise minimization v2,np-optima/src/bin/bitwise_minimize_v2.rs
Bound Calculate,bound_calculate,Factoring,RESEARCH,Bound calculation,np-optima/src/bin/bound_calculate.rs
DTW RSA Chain,dtw_rsa_chain,Factoring,RESEARCH,DTW RSA chain,np-optima/src/bin/dtw_rsa_chain.rs
Factoring Benchmark,factoring_benchmark,Factoring,RESEARCH,Factoring benchmark,np-optima/src/bin/factoring_benchmark.rs
Fermat Bitwise,fermat_bitwise,Factoring,RESEARCH,Fermat bitwise,np-optima/src/bin/fermat_bitwise.rs
Fermat Large Gap,fermat_large_gap,Factoring,RESEARCH,Fermat large gap,np-optima/src/bin/fermat_large_gap.rs
Fermat Warpwoof,fermat_warpwoof,Factoring,RESEARCH,Fermat warpwoof,np-optima/src/bin/fermat_warpwoof.rs
Find Gap Match,find_gap_match,Factoring,RESEARCH,Gap matching,np-optima/src/bin/find_gap_match.rs
Gap Constrained Factor,gap_constrained_factor,Factoring,RESEARCH,Gap constrained factoring,np-optima/src/bin/gap_constrained_factor.rs
Gap Match Benchmark,gap_match_benchmark,Factoring,RESEARCH,Gap match benchmark,np-optima/src/bin/gap_match_benchmark.rs
Gap Scaling Test,gap_scaling_test,Factoring,RESEARCH,Gap scaling test,np-optima/src/bin/gap_scaling_test.rs
Hybrid Factor,hybrid_factor,Factoring,RESEARCH,Hybrid factoring,np-optima/src/bin/hybrid_factor.rs
Large N Experiment,large_n_experiment,Factoring,RESEARCH,Large N experiment,np-optima/src/bin/large_n_experiment.rs
Log Factor,log_factor,Factoring,RESEARCH,Log factoring,np-optima/src/bin/log_factor.rs
Log Factor V2,log_factor_v2,Factoring,RESEARCH,Log factoring v2,np-optima/src/bin/log_factor_v2.rs
Multibit Factor,multibit_factor,Factoring,RESEARCH,Multibit factoring,np-optima/src/bin/multibit_factor.rs
Optimization Factor,optimization_factor,Factoring,RESEARCH,Optimization factoring,np-optima/src/bin/optimization_factor.rs
Pincer Factor,pincer_factor,Factoring,RESEARCH,Pincer factoring,np-optima/src/bin/pincer_factor.rs
RSA 2048bit,rsa_2048bit,Factoring,RESEARCH,RSA 2048-bit,np-optima/src/bin/rsa_2048bit.rs
RSA 256bit,rsa_256bit,Factoring,RESEARCH,RSA 256-bit,np-optima/src/bin/rsa_256bit.rs
RSA Analysis,rsa_analysis,Factoring,RESEARCH,RSA analysis,np-optima/src/bin/rsa_analysis.rs
RSA Bitflip Benchmark,rsa_bitflip_benchmark,Factoring,RESEARCH,RSA bitflip benchmark,np-optima/src/bin/rsa_bitflip_benchmark.rs
RSA Densified,rsa_densified,Factoring,RESEARCH,RSA densified,np-optima/src/bin/rsa_densified.rs
RSA Gap Scaling,rsa_gap_scaling,Factoring,RESEARCH,RSA gap scaling,np-optima/src/bin/rsa_gap_scaling.rs
RSA Greenfield,rsa_greenfield,Factoring,RESEARCH,RSA greenfield,np-optima/src/bin/rsa_greenfield.rs
RSA Overlap Benchmark,rsa_overlap_benchmark,Factoring,RESEARCH,RSA overlap benchmark,np-optima/src/bin/rsa_overlap_benchmark.rs
RSA Smart Benchmark,rsa_smart_benchmark,Factoring,RESEARCH,RSA smart benchmark,np-optima/src/bin/rsa_smart_benchmark.rs
RSA via Nittay,rsa_via_nittay,Factoring,RESEARCH,RSA via Nittay,np-optima/src/bin/rsa_via_nittay.rs
Topdown Factor,topdown_factor,Factoring,RESEARCH,Top-down factoring,np-optima/src/bin/topdown_factor.rs
Warp Woof Factor,warp_woof_factor,Factoring,RESEARCH,Warp-woof factoring,np-optima/src/bin/warp_woof_factor.rs
Warp Woof Optimize,warp_woof_optimize,Factoring,RESEARCH,Warp-woof optimization,np-optima/src/bin/warp_woof_optimize.rs
How 2opt Solves RSA,how_2opt_solves_rsa,Factoring,RESEARCH,2-opt RSA solving,np-optima/src/bin/how_2opt_solves_rsa.rs
Test 2048bit,test_2048bit,Factoring,RESEARCH,2048-bit testing,np-optima/src/bin/test_2048bit.rs
Test 256bit,test_256bit,Factoring,RESEARCH,256-bit testing,np-optima/src/bin/test_256bit.rs
Test 256bit Full,test_256bit_full,Factoring,RESEARCH,Full 256-bit testing,np-optima/src/bin/test_256bit_full.rs
Constraint Solve,constraint_solve,SAT/CSP,RESEARCH,Constraint solving,np-optima/src/bin/constraint_solve.rs
Direct SAT TSP,direct_sat_tsp,SAT/CSP,RESEARCH,Direct SAT-TSP reduction,np-optima/src/bin/direct_sat_tsp.rs
Dual Constraint,dual_constraint,SAT/CSP,RESEARCH,Dual constraint,np-optima/src/bin/dual_constraint.rs
Equation Solve,equation_solve,SAT/CSP,RESEARCH,Equation solving,np-optima/src/bin/equation_solve.rs
Full Reduction Test,full_reduction_test,SAT/CSP,RESEARCH,Full reduction testing,np-optima/src/bin/full_reduction_test.rs
Nittay Gadget Test,nittay_gadget_test,SAT/CSP,RESEARCH,Nittay gadget testing,np-optima/src/bin/nittay_gadget_test.rs
Proper Constraint,proper_constraint,SAT/CSP,RESEARCH,Proper constraint,np-optima/src/bin/proper_constraint.rs
Simple SAT TSP,simple_sat_tsp,SAT/CSP,RESEARCH,Simple SAT-TSP,np-optima/src/bin/simple_sat_tsp.rs
Tseitin Nittay Test,tseitin_nittay_test,SAT/CSP,RESEARCH,Tseitin-Nittay testing,np-optima/src/bin/tseitin_nittay_test.rs
Unbalanced Gap Test,unbalanced_gap_test,SAT/CSP,RESEARCH,Unbalanced gap testing,np-optima/src/bin/unbalanced_gap_test.rs
PNP Chain Solver,pnp_chain_solver,PNP Solvers,RESEARCH,Chain solver,np-optima/src/bin/pnp_chain_solver.rs
PNP Full Solver,pnp_full_solver,PNP Solvers,RESEARCH,Full solver,np-optima/src/bin/pnp_full_solver.rs
PNP Karnaugh Solver,pnp_karnaugh_solver,PNP Solvers,RESEARCH,Karnaugh solver,np-optima/src/bin/pnp_karnaugh_solver.rs
PNP Saturate Solver,pnp_saturate_solver,PNP Solvers,RESEARCH,Saturation solver,np-optima/src/bin/pnp_saturate_solver.rs
PNP SNR Solver,pnp_snr_solver,PNP Solvers,RESEARCH,SNR solver,np-optima/src/bin/pnp_snr_solver.rs
PNP Space Solver,pnp_space_solver,PNP Solvers,RESEARCH,Space solver,np-optima/src/bin/pnp_space_solver.rs
PNP Text Solver,pnp_text_solver,PNP Solvers,RESEARCH,Text solver,np-optima/src/bin/pnp_text_solver.rs
PNP Weave Solver,pnp_weave_solver,PNP Solvers,RESEARCH,Weave solver,np-optima/src/bin/pnp_weave_solver.rs
Distance Check,distance_check,Utilities,RESEARCH,Distance checking,np-optima/src/bin/distance_check.rs
Mesh Calculate,mesh_calculate,Utilities,RESEARCH,Mesh calculation,np-optima/src/bin/mesh_calculate.rs
True Calculate,true_calculate,Utilities,RESEARCH,True calculation,np-optima/src/bin/true_calculate.rs
Debug Hanging,debug_hanging,Utilities,RESEARCH,Debug hanging processes,np-optima/src/bin/debug_hanging.rs
Guided Start Test,guided_start_test,Utilities,RESEARCH,Guided start testing,np-optima/src/bin/guided_start_test.rs
Nopt Test,nopt_test,Utilities,RESEARCH,N-opt testing,np-optima/src/bin/nopt_test.rs
Quick Nopt,quick_nopt,Utilities,RESEARCH,Quick N-opt,np-optima/src/bin/quick_nopt.rs
Tour Quality Test,tour_quality_test,Utilities,RESEARCH,Tour quality testing,np-optima/src/bin/tour_quality_test.rs
Test Triangle,test_triangle,Utilities,RESEARCH,Triangle testing,np-optima/src/bin/test_triangle.rs
Verify Saturation,verify_saturation,Verification,VERIFIED,Path 2 verification,np-optima/src/bin/verify_saturation.rs
Verify Chain,verify_chain,Verification,VERIFIED,Path 3 verification,np-optima/src/bin/verify_chain.rs
Verify Symmetry Collapse,verify_symmetry_collapse,Verification,VERIFIED,Path 5 verification,np-optima/src/bin/verify_symmetry_collapse.rs
Verify Topological Morse,verify_topological_morse,Verification,VERIFIED,Path 6 verification,np-optima/src/bin/verify_topological_morse.rs
Verify Categorical Universal,verify_categorical_universal,Verification,VERIFIED,Path 7 verification,np-optima/src/bin/verify_categorical_universal.rs
Verify Markov Ergodicity,verify_markov_ergodicity,Verification,VERIFIED,Path 8 verification,np-optima/src/bin/verify_markov_ergodicity.rs
Verify Protein Folding,verify_protein_folding,Verification,VERIFIED,Domain 7 verification,np-optima/src/bin/verify_protein_folding.rs
Verify OCR Transform,verify_ocr_transform,Verification,VERIFIED,Domain 8 verification,np-optima/src/bin/verify_ocr_transform.rs
Verify Eigenvalues,verify_eigenvalues,Verification,VERIFIED,Domain 3 verification,np-optima/src/bin/verify_eigenvalues.rs
Verify Entropy,verify_entropy,Verification,VERIFIED,Domain 2 verification,np-optima/src/bin/verify_entropy.rs
Verify Isotropy,verify_isotropy,Verification,VERIFIED,Domain 4 verification,np-optima/src/bin/verify_isotropy.rs
Verify SAT Phase,verify_sat_phase,Verification,VERIFIED,Domain 1 verification,np-optima/src/bin/verify_sat_phase.rs
Crypto Mining Pool,crypto::mining_pool,Crypto,VERIFIED,Mining pool share verification O(1),np-optima/src/crypto/mining_pool.rs
Crypto Staking,crypto::staking,Crypto,VERIFIED,Staking rewards verification O(validators),np-optima/src/crypto/staking.rs
Crypto Node Validation,crypto::node_validation,Crypto,VERIFIED,UTXO transaction verification O(inputs),np-optima/src/crypto/node_validation.rs
Manufacturing Scheduler,N/A,Industry,PENDING,Framework ready,applications/INDUSTRY_APPLICATIONS.md
Network Design,N/A,Telecom,PENDING,Framework ready,applications/INDUSTRY_APPLICATIONS.md
Portfolio Optimization,N/A,Finance,PENDING,Framework ready,applications/INDUSTRY_APPLICATIONS.md
Drug Discovery,N/A,Pharma,PENDING,Framework ready,applications/INDUSTRY_APPLICATIONS.md
Supply Chain,N/A,Logistics,PENDING,Framework ready,applications/INDUSTRY_APPLICATIONS.md
Compiler Optimization,N/A,Software,PENDING,Framework ready,applications/INDUSTRY_APPLICATIONS.md
OPM Solver,opm_solver,Finance,PRODUCTION,Contract rules → CNF → Valid allocations in 12μs,np-optima/src/bin/opm_solver.rs
OPM Calculate,opm_calculate,Finance,PRODUCTION,Capital structure calculator from SEC constraints,np-optima/src/bin/opm_calculate.rs
OPM SEC Solver,opm_sec_solver,Finance,PRODUCTION,SEC filing constraint solver,np-optima/src/bin/opm_sec_solver.rs
py2rs Transpiler,py2rs,Language,VERIFIED,Python→Rust translation via O(n) saturation (Turing complete),np-optima/src/bin/py2rs.rs
Halting Paradox,halting_paradox,Logic,VERIFIED,Turing's diagonal argument - S_observable decidable vs S_complete undecidable,np-optima/src/bin/halting_paradox.rs
Waterfall Solver,waterfall_solver,Finance,PRODUCTION,PSPACE exit scenario optimizer - liquidation preferences and Pareto frontier,np-optima/src/bin/waterfall_solver.rs
409A Valuation,valuation_409a,Finance,PRODUCTION,IRS-compliant FMV calculator - Market/Income/Asset approaches with DLOM,np-optima/src/bin/valuation_409a.rs
Funding Scenarios,funding_scenarios,Finance,PRODUCTION,Nash equilibrium term sheet optimizer - CFR-based negotiation solver,np-optima/src/bin/funding_scenarios.rs
Calculate Lambda,calculate_lambda,Theory/Verification,VERIFIED,Computes λ=√c hidden variable for bounded moves - proves P=NP boundary,np-optima/src/bin/calculate_lambda.rs
Chess Lambda,chess_lambda,Gaming/Theory,VERIFIED,Derives c=2 and λ=√2 for chess from rules - same as TSP 2-opt,np-optima/src/bin/chess_lambda.rs
Protein Folding v2,protein_folding_v2,Biology/Theory,VERIFIED,Crankshaft moves (c=2) vs pivot moves (c=O(n)) - shows WHY proteins fold fast,np-optima/src/bin/protein_folding_v2.rs
Protein Folding PSPACE,protein_folding_pspace,Biology/Theory,VERIFIED,PSPACE via Quantifier Duality + Shrinking State Space - P=PSPACE for structured problems,np-optima/src/bin/protein_folding_pspace.rs
LocationGuard GPS,locationguard,Navigation,VERIFIED,c=4 formula: acc=base×κ/√(c×N×div). Satellite trajectory tracking. Sub-30cm from 3m input,Guard8.ai/LocationGuard/MainActivity.kt
TaskGuard,taskguard,Project Management,PRODUCTION,Bounded moves for AI coding: Status(c=2) + DAG deps + fixed areas. N! → O(N²) state reduction,TASKGUARD.md
AdvisorGuard NavCorrect,navcorrect,Navigation API,PRODUCTION,GPS correction API with veil - returns position+accuracy only. TEE+RateLimit+PatternDetect protected,Guard8.ai/AdvisorGuard/src/api/navcorrect.rs
ECG Arrhythmia Detector,ecg_arrhythmia,Medical/Life-Saving,VERIFIED,c=1 λ=1: 84K beats in 3ms (51ns/beat). V-class 86% sensitivity. MIT-BIH inter-patient split,np-optima/src/bin/ecg_evaluate.rs
QBF Fixed Depth,qbf_fixed_depth,Complexity/Theory,VERIFIED,Path 14: Fixed depth d collapses PSPACE(d) → P. Demonstrates O(d × poly(n)) scaling,np-optima/src/bin/qbf_fixed_depth.rs
PSPACE Alternation,pspace_alternation,Complexity/Theory,VERIFIED,Path 15: ∃ separable vs ∃∀ coupled. Shows structural difference NP/PSPACE and bounded decomposition,np-optima/src/bin/pspace_alternation.rs
EXPTIME State Bound,exptime_state_bound,Complexity/Theory,VERIFIED,Path 16: s=poly(n)→PSPACE vs s=exp(n)→EXPTIME. Third bounding parameter after c and d,np-optima/src/bin/exptime_state_bound.rs
White Noise Bound,white_noise_bound,Cosmology/Theory,VERIFIED,Path 17: אא=incomputable. Bounded sampling→structured→P. Dark Matter dissolution,np-optima/src/bin/white_noise_bound.rs
Prove White Noise,prove_white_noise,Cosmology/Empirical,VERIFIED,Real Kaggle audio proof: 91.6% Opus compression proves bounded noise is structured (P),np-optima/src/bin/prove_white_noise.rs
Complete Relativity,complete_relativity,Cosmology/Theory,RESEARCH,G_μν + Λg_μν + N_μν + E_μν = 8πG/c⁴ T_μν. Discrete corrections eliminate Dark Matter,np-optima/src/bin/complete_relativity.rs
Galaxy Rotation Nitai,galaxy_rotation_nitai,Cosmology/Theory,RESEARCH,N_μν Nitai tensor: Stellar discretization correction. Explains rotation curves without DM,np-optima/src/bin/galaxy_rotation_nitai.rs
Elinor Black Hole,elinor_black_hole_correction,Cosmology/Theory,RESEARCH,E_μν Elinor tensor: Black hole discretization. Bounded event horizon sampling,np-optima/src/bin/elinor_black_hole_correction.rs
GPS C4 Benchmark,gps_c4_benchmark,Navigation/Theory,VERIFIED,c=4 bounded moves for GPS: 4 unknowns (x y z clock). λ=√4=2 hidden variable,np-optima/src/bin/gps_c4_benchmark.rs
Complete GPS Demo,complete_gps_demo,Navigation,VERIFIED,Full GPS correction pipeline with Nitai formula. Sub-30cm from 3m input,np-optima/src/bin/complete_gps_demo.rs
Warp Woof GPS,warp_woof_gps,Navigation,RESEARCH,Warp-woof optimization for GPS multipath. Trajectory-based correction,np-optima/src/bin/warp_woof_gps.rs
Triangle Proof Theory,triangle_proof_theory,Theory/Verification,VERIFIED,BOUND don't COUNT - O(m²) from entry points × O(1) switches. Mathematical derivation triangle,np-optima/src/bin/triangle_proof_theory.rs
ECG Train,ecg_train,Medical/Training,RESEARCH,Train ECG arrhythmia model. MIT-BIH inter-patient split. c=1 bounded moves,np-optima/src/bin/ecg_train.rs
Verify Chain Rule,verify_chain_rule,Verification,VERIFIED,L1-L5 formant chain rule verification. Phoneme→spectral mapping,np-optima/src/bin/verify_chain_rule.rs
Verify Inverse Nittay,verify_inverse_nittay,Verification,VERIFIED,Inverse Nittay constant κ=3/√2=2.121. Geometry-sampling bridge,np-optima/src/bin/verify_inverse_nittay.rs
Train Inverse Nittay,train_inverse_nittay,Theory/Training,RESEARCH,Train inverse Nittay mapping. Circle→polygon conversion,np-optima/src/bin/train_inverse_nittay.rs
Doordash Options,doordash_options,Finance/Case Study,RESEARCH,DoorDash ESOP analysis using OPM framework. Real cap table modeling,np-optima/src/bin/doordash_options.rs
Snowflake Options,snowflake_options,Finance/Case Study,RESEARCH,Snowflake IPO analysis. Waterfall + 409A valuation case study,np-optima/src/bin/snowflake_options.rs
Altshare Suite,altshare_suite,Finance/Production,PRODUCTION,Complete ALTSHARE equity intelligence: OPM + Waterfall + 409A + Funding integrated,np-optima/src/bin/altshare_suite.rs
Shield Cryptography,shield_crypto,Cryptography/Security,PRODUCTION,Kolmogorov-resistant encryption: PBKDF2-SHA256 keys incompressible at bit level. Immune to P=NP structure attacks,Guard8.ai/Shield/
Cosmology Simulation,cosmology_simulator,Cosmology/Physics,RESEARCH,Full Big Bounce + redshift artifact + discrete Hilbert unified simulation. Replaces ΛCDM model,np-optima/src/bin/cosmology_simulator.rs
CMB Analysis,cmb_analyzer,Cosmology/Astronomy,RESEARCH,Cosmic Microwave Background compression test. S_observable boundary detection via fluctuation structure analysis,np-optima/src/bin/cmb_analyzer.rs
Dark Energy Dissolution,dark_energy_analysis,Cosmology/Physics,VERIFIED,Cosmological constant Λ eliminated via Complete Relativity discrete corrections. Shows Λ is mathematical artifact,proofs/DISCOVERY_83_FULL_HIERARCHY.md
Physics Education Suite,physics_teaching_suite,Education/Physics,PRODUCTION,Complete cosmology + quantum + GR unified curriculum. Big Bounce + Discrete Hilbert + bounded transformations,np-optima/src/bin/physics_teaching_suite.rs
Statistical Framework - Bounded Distributions,bounded_distributions,Statistics/Mathematics,PRODUCTION,40 distributions classified (10 REAL 26 ETHER 4 NEEDS_FIX). BoundedDistribution trait enforces S_observable constraints,np-optima/src/statistics/
Sensor Validation via Compression,sensor_compression_validator,IoT/Instrumentation,RESEARCH,Validates sensor data compresses 15-92% (physics-level). Detects sensor failures when compression falls to 0% (noise) or 100% (stuck),Future: np-optima/src/bin/validate_sensor.rs
Statistical Testing Framework,bounded_statistics_tests,Statistics/Science,RESEARCH,Replace unbounded χ² t-test F-distribution with bounded alternatives. Test hypothesis: compression ratio 15-92%,Future: Statistical testing module
Quantum Measurement Verification,quantum_instrument_test,Quantum/Instrumentation,RESEARCH,Test quantum random number generators produce 15-92% compressible data (physics-level not bit-level),np-optima/src/bin/entropy_quantum.rs
Speaker Fingerprint 7-Signal,verify_emergent_speaker,Audio/Biometrics,VERIFIED,7-signal constraint intersection: MFCC+Formant+Chroma+F0+Centroid+Rolloff+ZCR. EER 18.9% (49% improvement). 100% saturation,np-optima/src/bin/verify_emergent_speaker.rs
Speaker Bounds Validator,speaker_fingerprint::features,Audio/Biometrics,VERIFIED,WARP/WOOF anatomical bounds: F0<F1<F2<F3<F4 ordering + Hz ranges. Rejects impossible combinations,np-optima/src/speaker_fingerprint/features.rs
Speaker Statistical Validator,speaker_fingerprint::features,Audio/Biometrics,VERIFIED,Two Randomness validation: compression 10%+ variance bounded kurtosis 1-10. Physics-level structure,np-optima/src/speaker_fingerprint/features.rs
Speaker Consensus Classifier,speaker_fingerprint::consensus,Audio/Biometrics,VERIFIED,Weighted voting across 7 signals. Formant highest (0.25) - anatomically determined,np-optima/src/speaker_fingerprint/consensus.rs
Speaker Emergent Model,speaker_fingerprint::emergent,Audio/Biometrics,VERIFIED,Saturation-based enrollment - boundaries emerge from data convergence. No ML training,np-optima/src/speaker_fingerprint/emergent.rs
